GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eis-app,it.unipd.dei.eis.domain.controllers,DownloadController,0,71,0,0,0,13,0,2,0,2
eis-app,it.unipd.dei.eis.domain.controllers,Controller,0,6,0,0,0,3,0,1,0,1
eis-app,it.unipd.dei.eis.domain.controllers,TermsExtractorController,0,79,0,0,0,13,0,2,0,2
eis-app,it.unipd.dei.eis.core.utils,DateParser,0,20,0,0,0,7,0,3,0,3
eis-app,it.unipd.dei.eis.core.utils,SynchronizedFrequencyCounter,0,45,0,0,0,9,0,3,0,3
eis-app,it.unipd.dei.eis.core.utils,IntegerParser,0,7,0,0,0,3,0,1,0,1
eis-app,it.unipd.dei.eis.core.utils,ContextBuilder,0,77,0,0,0,22,0,12,0,12
eis-app,it.unipd.dei.eis.presentation,Bootstrapper,7,186,0,0,3,86,0,3,0,3
eis-app,it.unipd.dei.eis.presentation,AsyncExecutor,17,227,2,10,5,43,2,12,0,8
eis-app,it.unipd.dei.eis.presentation,AsyncExecutor.new PrintStream() {...},0,18,0,0,0,3,0,2,0,2
eis-app,it.unipd.dei.eis.data.sources,DataSource,40,84,0,6,8,31,5,9,5,6
eis-app,it.unipd.dei.eis.data.sources,TermsDataSource,3,161,0,8,2,40,0,10,0,6
eis-app,it.unipd.dei.eis.data.sources,JsonDataSource,6,59,0,0,2,9,0,3,0,3
eis-app,it.unipd.dei.eis.data.sources,CsvDataSource,0,30,0,0,0,7,0,2,0,2
eis-app,it.unipd.dei.eis.data.sources,TermsDataSource.new Properties() {...},0,8,0,0,0,3,0,1,0,1
eis-app,it.unipd.dei.eis.data.sources,TheGuardianDataSource,36,190,10,12,5,42,10,6,0,5
eis-app,it.unipd.dei.eis.core.constants,Outputs,0,63,0,8,0,10,0,7,0,3
eis-app,it.unipd.dei.eis.data.entities,CsvDataEntity,6,68,3,1,0,20,2,5,0,5
eis-app,it.unipd.dei.eis.data.entities,TheGuardianDataEntity.Response.Result.Fields,6,0,0,0,3,0,1,0,1,0
eis-app,it.unipd.dei.eis.data.entities,JsonDataEntity,24,21,4,0,3,8,5,1,3,1
eis-app,it.unipd.dei.eis.data.entities,TheGuardianDataEntity,6,0,0,0,3,0,1,0,1,0
eis-app,it.unipd.dei.eis.data.entities,TheGuardianDataEntity.Response.Result,39,0,0,0,14,0,1,0,1,0
eis-app,it.unipd.dei.eis.data.entities,TermsDataEntity,6,32,3,1,0,6,2,3,0,3
eis-app,it.unipd.dei.eis.data.entities,TheGuardianDataEntity.Response,30,0,0,0,11,0,1,0,1,0
eis-app,it.unipd.dei.eis.data.entities,DataEntity,0,18,0,0,0,4,0,4,0,4
eis-app,it.unipd.dei.eis,App,3,6,0,0,1,2,1,1,1,1
eis-app,it.unipd.dei.eis.domain.models,ArticleModel,0,43,0,0,0,8,0,1,0,1
eis-app,it.unipd.dei.eis.data.codecs,TxtDecoder,0,29,0,0,0,4,0,5,0,5
eis-app,it.unipd.dei.eis.data.codecs,JsonEncoder,0,12,0,0,0,3,0,3,0,3
eis-app,it.unipd.dei.eis.data.codecs,CsvDecoder,0,24,0,0,0,7,0,3,0,3
eis-app,it.unipd.dei.eis.data.codecs,JsonDecoder,0,16,0,0,0,3,0,3,0,3
eis-app,it.unipd.dei.eis.data.codecs,TxtEncoder,0,53,0,4,0,14,0,4,0,2
eis-app,it.unipd.dei.eis.core.enums,UseCases,0,58,0,8,0,11,0,6,0,2
eis-app,it.unipd.dei.eis.domain.use_cases,DownloaderAndExtractor,0,17,0,0,0,2,0,1,0,1
eis-app,it.unipd.dei.eis.domain.use_cases,UseCaseFactory,12,17,1,3,1,4,1,3,0,1
eis-app,it.unipd.dei.eis.domain.use_cases,TermsExtractor,0,6,0,0,0,2,0,1,0,1
eis-app,it.unipd.dei.eis.domain.use_cases,UseCase,0,46,0,2,0,10,0,5,0,4
eis-app,it.unipd.dei.eis.domain.use_cases,ArticlesDownloader,0,6,0,0,0,2,0,1,0,1
eis-app,it.unipd.dei.eis.domain.repositories,RepositoryFactory,0,42,0,8,0,10,0,5,0,1
eis-app,it.unipd.dei.eis.domain.repositories,TheGuardianRepository,0,63,0,2,0,14,0,7,0,6
eis-app,it.unipd.dei.eis.domain.repositories,CsvRepository,0,35,0,2,0,7,0,5,0,4
eis-app,it.unipd.dei.eis.domain.repositories,TermsExtractionRepository,0,27,0,2,0,7,0,5,0,4
eis-app,it.unipd.dei.eis.domain.repositories,Repository,0,65,0,2,0,20,0,8,0,7
eis-app,it.unipd.dei.eis.domain.repositories,JsonRepository,0,44,0,2,0,7,0,5,0,4
eis-app,it.unipd.dei.eis.core.common,Either,1,34,1,3,0,8,1,6,0,5
eis-app,it.unipd.dei.eis.core.common,Success,0,3,0,0,0,1,0,1,0,1
eis-app,it.unipd.dei.eis.core.common,Cache,0,25,0,0,0,6,0,4,0,4
eis-app,it.unipd.dei.eis.core.common,Failure,0,28,0,0,0,12,0,3,0,3
eis-app,it.unipd.dei.eis.core.common,Context,62,179,20,12,5,37,15,4,0,3
